Site,Session,PSNR,MSE,NMI,SSIM,SoftwareVersion,Temperature
P0004,202401,34.26877875,0.002772408,1.478640369,0.98143639,8.7,20
P0004,202401,33.99963974,0.002698907,1.474784717,0.979647645,8.7,20
P0004,202402,34.3760841,0.002662054,1.48024565,0.980833061,8.7,19
P0004,202402,34.5232317,0.002599513,1.482998676,0.981718849,8.7,19
P0004,202402,34.29539496,0.002628145,1.479324899,0.981276915,8.7,20
P0007,202311,35.08425424,0.002413105,1.492853155,0.984642947,8.7,20
P0007,202311,34.96343386,0.002392839,1.492127109,0.984962052,8.7,21
P0008,202311,34.39927907,0.00210933,1.487320632,0.986877605,8.7,23
P0008,202311,34.57427477,0.002050491,1.490929127,0.987220424,8.7,23
P0008,202311,34.34090118,0.002256145,1.48634144,0.985972092,8.7,23
P0008,202311,34.44340591,0.00221316,1.487533442,0.986182586,8.7,23
P0008,202311,33.89053939,0.00243442,1.478772738,0.984938883,8.7,23
P0008,202311,34.48269239,0.002249675,1.486660431,0.986041027,8.7,23
P0008,202403,35.07183866,0.002264992,1.49405728,0.986134389,8.7,20
P0008,202403,35.27451067,0.002252937,1.496621476,0.986208775,8.7,20
P0008,202403,35.08931651,0.002276892,1.494032898,0.985968942,8.7,20
P0009,202306,33.87387806,0.002422352,1.473369795,0.982677283,8.6,22
P0009,202306,33.93010267,0.002332401,1.474569786,0.983520027,8.6,21
P0009,202306,33.8952069,0.002371213,1.473974591,0.983004451,8.6,21
P0009,202306,34.25832049,0.002344699,1.478517801,0.983342203,8.6,21
P0009,202306,33.71208247,0.002378267,1.47151352,0.98303831,8.6,22
P0009,202306,34.45144918,0.002363612,1.480362136,0.98306052,8.6,20
P0009,202306,34.31359062,0.002394145,1.47899385,0.982647146,8.6,20
P0009,202306,34.38330496,0.002366999,1.48000191,0.982924614,8.6,20
P0009,202307,33.66778441,0.002442378,1.470834696,0.982609115,8.6,23
P0009,202307,34.01653938,0.002370847,1.475282902,0.983085427,8.6,21
P0009,202307,33.84186007,0.002343979,1.474396077,0.982581284,8.6,21
P0009,202307,34.05331796,0.002340633,1.476261788,0.983211452,8.6,21
P0009,202307,33.99414628,0.002327867,1.475057474,0.98308275,8.6,21
P0009,202307,34.52356083,0.002611154,1.485244448,0.982632266,8.7,21
P0009,202307,34.56790343,0.002490008,1.486488158,0.984005465,8.7,20
P0009,202307,35.01714303,0.002461184,1.492405564,0.983584767,8.7,20
P0009,202307,34.62333121,0.002440666,1.487799241,0.983551393,8.7,21
P0009,202307,34.91704816,0.002358444,1.492039505,0.984203439,8.7,21
P0009,202307,34.68412642,0.002450407,1.488463786,0.983465015,8.7,21
P0009,202307,34.8522989,0.002456485,1.490757709,0.983622476,8.7,19
P0009,202308,34.68637532,0.002490216,1.488565894,0.983565167,8.7,20
P0009,202308,34.31437134,0.002662218,1.481709036,0.982804444,8.7,20
P0009,202309,34.84745749,0.002571471,1.489262504,0.983132611,8.7,20
P0009,202309,34.80495592,0.002436374,1.489959597,0.984209345,8.7,21
P0009,202309,34.94775508,0.002371094,1.492548919,0.984536037,8.7,21
P0009,202309,34.72385263,0.002563287,1.48800705,0.983458244,8.7,20
P0009,202309,35.18145084,0.002314205,1.495568299,0.985063963,8.7,19
P0009,202310,35.04824765,0.002462555,1.492382372,0.984089759,8.7,19
P0009,202310,35.4456622,0.002473116,1.497501879,0.984050721,8.7,18
P0009,202310,34.40410821,0.002718689,1.482947139,0.982161678,8.7,18
P0009,202310,35.19725372,0.00237094,1.496378579,0.983666368,8.7,21
P0009,202310,35.27303278,0.002350621,1.496934793,0.984485161,8.7,20
P0009,202311,34.79684002,0.002448872,1.489811727,0.983886049,8.7,20
P0009,202311,34.67677673,0.002497867,1.487802504,0.982807675,8.7,19
P0009,202403,34.89656333,0.002464313,1.490739286,0.984209598,8.7,19
P0009,202403,34.7291155,0.002626555,1.487277566,0.983353683,8.7,19
P0009,202403,34.51892689,0.002714241,1.48464036,0.982784022,8.7,20
P0010,202403,34.30565582,0.002578411,1.482038031,0.983288694,8.7,22
P0010,202403,33.82642356,0.00275675,1.473767445,0.982294769,8.7,22
P0010,202403,34.19995005,0.002531729,1.480102539,0.983223482,8.7,22
P0012,202310,34.25945904,0.002532439,1.479064031,0.981704388,8.61,18
P0012,202310,34.07915198,0.002400566,1.477924851,0.983338874,8.61,20
P0012,202311,34.22958641,0.002523706,1.478791567,0.981862068,8.61,22
P0012,202311,34.17008411,0.002557278,1.476578612,0.981204304,8.61,21
P0012,202312,32.41019265,0.003187053,1.450613267,0.976910972,8.61,21
P0012,202312,33.76139395,0.00288731,1.470049914,0.979532467,8.61,22
P0012,202312,34.40618279,0.002696787,1.478787973,0.979737521,8.61,21
P0012,202402,33.45339518,0.003188597,1.463570839,0.977215148,8.61,22
P0012,202402,33.97596975,0.002576017,1.474399187,0.980933931,8.61,23
P0012,202404,35.0304447,0.002340558,1.490288662,0.983644827,8.8,23
P0012,202404,35.05653098,0.002233088,1.491908401,0.98516383,8.8,22
P0012,202404,35.76009637,0.002137811,1.502227829,0.985980434,8.8,22
P0013,202306,33.70005256,0.002686625,1.46817474,0.980130918,8.6,22
P0013,202404,34.65157019,0.002637422,1.484954469,0.982352849,8.7,23
P0013,202404,34.33874623,0.002664112,1.480703745,0.982002588,8.7,22
P0013,202404,34.06603592,0.002657959,1.477256628,0.981926538,8.7,22
P0014,202309,33.99260596,0.002503388,1.473072046,0.982880988,8.6,22
P0014,202309,33.55966747,0.002490131,1.46775879,0.982299745,8.6,22
P0014,202310,33.79524554,0.002500806,1.47038551,0.983097159,8.6,22
P0014,202403,34.03482888,0.002495662,1.473820088,0.983159062,8.6,22
P0014,202403,33.69655255,0.002499265,1.469030472,0.982923925,8.6,22
P0014,202403,33.74835103,0.002412816,1.470705536,0.983178398,8.6,22
P0017,202402,33.62797113,0.002708648,1.470789342,0.983034012,8.7,22
P0017,202402,33.68040666,0.002598262,1.472722431,0.983295988,8.7,22
P0017,202402,33.39843356,0.002532732,1.468279242,0.983605399,8.7,22
P0017,202402,33.20691525,0.002792478,1.465331035,0.982452976,8.7,23
P0017,202402,33.82794898,0.002571461,1.471549041,0.984006939,8.7,23
P0020,202403,33.61225337,0.002862202,1.466456132,0.982590046,8.7,23
P0020,202403,34.34187228,0.002653495,1.477366801,0.984113637,8.7,20
P0020,202403,33.65515322,0.003813055,1.460078966,0.972692291,8.7,20
P0020,202403,33.69214805,0.002896787,1.467201755,0.982314801,8.7,21
P0020,202403,33.72835653,0.002834264,1.468507021,0.983085236,8.7,20
P0020,202403,33.6570697,0.002876148,1.467593297,0.98291747,8.7,20
P0020,202403,33.26909146,0.002780974,1.463674403,0.983385195,8.7,20
P0020,202404,33.73515978,0.00256968,1.470725568,0.984234712,8.7,22
P0020,202404,33.63917168,0.002666465,1.469652434,0.983616505,8.7,24
P0020,202404,33.5604974,0.002465637,1.469871004,0.984794735,8.7,22
