Unnamed: 0,MSE,PSNR,NMI,SSIM,Site,Session,SoftwareVersion,Temperature
,0.004410680348737,30.434850533552563,1.4166775859080285,0.9676245582281878,137-0027,2024-04-15 10_59_11,8.6.1,23.0
,0.0046382437459168,30.303741812612508,1.4143788142069589,0.9654919461301632,137-0027,2024-04-17 09_14_27,8.6.1,23.0
,0.0046382437459168,30.303741812612508,1.4143788142069589,0.9654919461301632,137-0027,2024-04-17 09_14_27,8.6.1,23.0
,0.0030074011558764,32.32015526323228,1.449649765607161,0.975147770169713,137-0027,2024-04-22 09_13_47,rc8.8.0_Beta1,
,0.0030074011558764,32.32015526323228,1.449649765607161,0.975147770169713,137-0027,2024-04-22 09_13_47,rc8.8.0_Beta1,
,0.0028814623492815,32.76094956900584,1.456270464623585,0.9740191868019296,137-0027,2024-05-09 10_26_05,rc8.8.0_Beta1,28.0
,0.0028814623492815,32.76094956900584,1.456270464623585,0.9740191868019296,137-0027,2024-05-09 10_26_05,rc8.8.0_Beta1,28.0
,0.0029302297183595,32.66410385552176,1.4544555722451766,0.9757284341253658,137-0027,2024-05-13 08_51_35,rc8.8.0_Beta1,27.0
,0.0029302297183595,32.66410385552176,1.4544555722451766,0.9757284341253658,137-0027,2024-05-13 08_51_35,rc8.8.0_Beta1,27.0
,0.0030406685700384,32.58949667742477,1.4519877254514435,0.9743296503242098,137-0027,2024-04-30 13_28_43,rc8.8.0_Beta1,30.0
,0.0030406685700384,32.58949667742477,1.4519877254514435,0.9743296503242098,137-0027,2024-04-30 13_28_43,rc8.8.0_Beta1,30.0
,0.0028525447902757,33.04593315307012,1.4589107249580953,0.9752865520842824,137-0027,2024-04-25 09_44_35,rc8.8.0_Beta1,29.0
,0.0028525447902757,33.04593315307012,1.4589107249580953,0.9752865520842824,137-0027,2024-04-25 09_44_35,rc8.8.0_Beta1,29.0
,0.0027965536240903,33.31756541879379,1.4632510583245553,0.9767060960801236,137-0027,2024-05-20 09_01_58,rc8.8.0_Beta1,28.0
,0.0027965536240903,33.31756541879379,1.4632510583245553,0.9767060960801236,137-0027,2024-05-20 09_01_58,rc8.8.0_Beta1,28.0
,0.0025556179387683,33.897290532040415,1.473386672707368,0.979266413272275,137-0027,2024-05-21 09_01_34,rc8.8.0_Beta1,28.0
,0.0025556179387683,33.897290532040415,1.473386672707368,0.979266413272275,137-0027,2024-05-21 09_01_34,rc8.8.0_Beta1,28.0
,0.0031581895687603,33.03909423877508,1.4572140746715263,0.972192320571505,137-0027,2024-05-26 09_03_38,rc8.8.0_Beta1,28.0
,0.0031581895687603,33.03909423877508,1.4572140746715263,0.972192320571505,137-0027,2024-05-26 09_03_38,rc8.8.0_Beta1,28.0
,0.0028285530014608,32.6137964963288,1.4547205092092033,0.9761896449515828,137-0027,2024-05-28 08_50_44,rc8.8.0_Beta1,28.0
,0.0028285530014608,32.6137964963288,1.4547205092092033,0.9761896449515828,137-0027,2024-05-28 08_50_44,rc8.8.0_Beta1,28.0
,0.0046273801663455,30.92873203168714,1.421286783631312,0.9641223137111262,137-0027,2024-05-29 09_09_04,rc8.8.0_Beta1,28.0
,0.0046273801663455,30.92873203168714,1.421286783631312,0.9641223137111262,137-0027,2024-05-29 09_09_04,rc8.8.0_Beta1,28.0
,0.0028561457061395,32.92565407265493,1.4579664427223196,0.9770461584650468,137-0027,2024-06-04 15_40_19,rc8.8.0_Beta1,28.0
,0.0028561457061395,32.92565407265493,1.4579664427223196,0.9770461584650468,137-0027,2024-06-04 15_40_19,rc8.8.0_Beta1,28.0
,0.0026742894012095,33.692487259672006,1.4694659963687406,0.9784479881047998,137-0027,2024-06-06 09_24_02,rc8.8.0_Beta1,28.0
,0.0026742894012095,33.692487259672006,1.4694659963687406,0.9784479881047998,137-0027,2024-06-06 09_24_02,rc8.8.0_Beta1,28.0
,0.0030933205312201,32.80590530672404,1.4554825508459752,0.9753452643333688,137-0027,2024-06-27 12_52_53,rc8.8.0_Beta1,28.0
,0.0030933205312201,32.80590530672404,1.4554825508459752,0.9753452643333688,137-0027,2024-06-27 12_52_53,rc8.8.0_Beta1,28.0
,0.0030883501767167,32.337275262752094,1.448762213110585,0.973310463386378,137-0027,2024-07-01 10_08_20,rc8.8.0_Beta1,28.0
,0.0030883501767167,32.337275262752094,1.448762213110585,0.973310463386378,137-0027,2024-07-01 10_08_20,rc8.8.0_Beta1,28.0
,0.0026459973816964,33.7963264699917,1.47103319667584,0.9782730835847327,137-0027,2024-07-02 08_52_03,rc8.8.0_Beta1,28.0
,0.0026459973816964,33.7963264699917,1.47103319667584,0.9782730835847327,137-0027,2024-07-02 08_52_03,rc8.8.0_Beta1,28.0
,0.0027760865297289,33.34863994563234,1.4638115795576334,0.977199379358136,137-0027,2024-07-03 08_49_46,rc8.8.0_Beta1,28.0
,0.0027760865297289,33.34863994563234,1.4638115795576334,0.977199379358136,137-0027,2024-07-03 08_49_46,rc8.8.0_Beta1,28.0
